0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
12.7181171,12.8157835,23.5103525,10.5634786,,33.5374004,,6.5585347,,21.3966703,14.8571096,14.3295503,23.8459607,26.6272718,11.7263539,13.2608908,4.2857605,8.1527892,34.2448094,26.8940518
27.1822421,27.1834848,32.6263434,16.6956505,,40.6831071,,12.5065813,,30.1286556,19.3894064,19.3969873,51.6124715,40.0615075,24.344356,24.8793569,8.2355569,22.9342652,80.0247349,34.3100756
43.6645836,43.6328822,,32.3468295,,47.5017407,,17.7033536,,36.3116076,36.2223341,24.6465984,62.3937426,52.0457711,40.9574955,31.2445553,23.1827964,27.4009845,,50.2886946
56.7943198,57.0288902,,43.8941119,,50.6016696,,20.6034424,,49.1601873,43.7560695,36.0123273,70.0918344,57.1604681,46.3569095,36.114876,27.5665817,37.7507648,,76.7560262
71.3628854,71.5302091,,49.6775488,,60.334872,,27.5029425,,63.1763701,60.3694588,60.4940602,77.6255798,62.4288583,53.5085117,42.0267603,37.597635,48.5341803,,82.3407825
85.578325,85.8628314,,58.9741057,,,,33.8854871,,75.1076375,66.7538448,65.8267343,85.7252538,70.0091841,64.9743843,46.0935977,62.9159046,60.8334626,,
99.3911669,99.5430734,,74.8054896,,,,45.5044476,,85.6590756,82.4868167,82.2756263,,77.1246492,71.0742688,51.8916882,,,,
,,,76.9747022,,,,57.4030819,,103.2228869,101.0662545,95.6913377,,,76.1556273,57.5746046,,,,
,,,,,,,64.4017924,,118.2208192,,,,,103.4215828,64.7758413,,,,
,,,,,,,70.3846147,,136.1897511,,,,,111.3200407,71.0083753,,,,
,,,,,,,87.583108,,,,,,,113.0545999,86.0740427,,,,
,,,,,,,111.5994476,,,,,,,117.5212107,96.7559106,,,,
,,,,,,,124.2466195,,,,,,,,111.2890036,,,,
,,,,,,,132.4137678,,,,,,,,,,,,
,,,,,,,140.0299356,,,,,,,,,,,,
,,,,,,,143.346286,,,,,,,,,,,,
