0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
12.4406756,12.6398065,10.8964207,9.8495633,5.3495033,5.3891359,6.5273609,6.473224,23.0592957,38.5083338,10.1618324,9.8803293,25.8865516,25.8267271,11.633643,24.0285595,23.7639992,24.3151999,34.2313168,34.2181646
27.1399094,27.4046544,13.179512,18.4671373,9.715871,9.8067782,12.5754748,12.4237068,36.0510194,64.107683,34.2404824,19.6638302,37.8010197,37.9580589,23.4160388,45.3950411,50.3282521,49.6805592,43.3972442,83.6304164
42.9933343,43.1028291,15.0630486,23.6501086,15.0153143,14.9199865,17.842205,18.9561218,63.5627622,75.4405903,60.5068926,24.5478719,52.2679648,52.1064292,40.4650085,60.6765648,75.6927859,76.5282216,59.3295803,7.708452
57.0375038,57.0363167,28.0124613,28.1501178,25.1164224,33.4041167,27.6090589,27.6716437,78.7322778,134.8693034,95.5207138,35.6624265,56.9356899,56.8905975,61.2622662,70.7253515,3.259511,0.6315931,83.1629352,12.8084189
70.9365731,71.2012757,49.2419242,43.8990859,33.4483589,40.4695686,33.9081963,33.8214319,102.8449031,19.6257215,4.896373,65.1782437,61.8186329,61.773023,71.1947149,111.4714643,7.6751024,3.3312375,1.5764417,19.1235413
85.3353824,85.3342078,54.726188,49.0640548,40.6466884,47.0194482,54.8737989,54.8195507,132.9747918,30.7759575,9.6966289,84.6762578,66.6999849,71.4895448,105.3561468,0.3699291,14.7892339,8.7315832,7.6940849,22.7397592
99.4525668,99.4323329,64.1921949,54.6811723,46.7129881,56.0865228,72.0054711,79.6846014,135.1755783,49.2743715,14.4312482,90.0096712,71.4679481,81.1541442,111.5902501,11.819334,23.3244751,13.8137253,12.3090561,25.4062703
12.7056443,13.2466655,76.7579133,64.1305823,70.9113982,6.4291366,102.7697823,83.6336691,2.3070894,63.4224792,19.4305013,95.2414043,86.1653568,11.6765356,9.2247421,20.56832,27.4737915,20.7630912,14.0108094,31.5897606
27.4410867,27.461928,83.8572245,76.6458348,5.6438215,11.2292087,110.91901,102.781637,14.440431,79.0386006,25.131002,4.4977878,10.7030326,14.5415601,13.1238745,31.2850223,29.4738497,23.3946282,20.2591961,34.4551876
43.8721148,44.1615014,10.40574,84.0781368,10.1769473,15.860611,123.601769,124.5811623,24.2448858,86.2207099,29.9127261,9.4649169,15.0541776,26.1084788,23.0050237,36.7845599,37.0733294,27.2627316,25.4749092,38.7887472
57.1551585,57.0440627,18.4875316,10.4165306,15.9942277,23.0775264,131.801738,137.3809501,31.2881012,97.7551398,36.0618953,14.3633064,20.435873,32.4905868,31.8890948,39.785759,42.9554623,34.7436006,31.6576009,42.1228109
71.8883077,71.2933973,23.7702617,23.4982436,23.6751031,33.7918056,139.4336223,140.3628215,36.9534618,102.9042054,43.3456626,19.3300179,26.7512068,41.2228849,46.5199536,42.4511698,46.6895171,37.3287846,34.7401055,45.2050902
85.8501847,85.1061296,29.0375172,33.3823334,33.9083938,40.375502,0.3545218,0.2987186,50.2226399,111.0362987,48.0112431,24.4641037,32.5848341,46.9569969,53.5545674,45.9667787,50.072565,43.6100935,42.1904952,49.4040518
99.9995535,99.6405595,32.4201028,49.5970925,40.9243574,46.5413294,3.8370011,3.7320363,64.3849319,115.9362579,54.7112046,29.79548,40.0672987,52.456631,61.5864524,48.7165644,53.1387815,50.2118436,45.3562797,52.9193694
12.5424158,12.9156005,39.019296,60.344691,46.7227343,51.5563874,6.8209491,6.8459781,76.7183429,29.9302199,60.2934104,35.4143572,52.1660405,56.9381983,67.3860384,51.6663863,56.288523,69.3741806,49.5237571,54.7209464
27.1256426,27.1822849,44.3372194,77.0457975,56.224135,56.9568151,9.5695664,9.9985599,84.7835374,39.3798359,65.3434677,43.0113529,56.9824869,61.8389387,70.9517714,53.6658298,60.9361455,75.3073625,54.7407465,58.1207088
43.7242967,43.7632001,49.3682035,5.70877,60.6074749,60.1084104,12.8894618,12.6121725,90.3664358,49.1476919,72.159909,52.627096,61.9482285,66.6705151,73.8186076,57.6988399,66.735419,3.2686473,59.7396524,60.5374242
56.7892656,56.8624831,59.0872069,10.3721939,71.0890181,66.4565227,16.6199778,16.415583,95.232786,63.4458385,77.2423176,61.3602567,66.7645108,71.5687026,78.3682531,60.2350178,74.336901,13.8161404,68.704918,64.0412385
71.4045649,71.2592379,72.3496748,12.7077446,5.4000241,70.9707571,20.0711127,19.2805285,101.7324734,74.9642495,81.4588159,65.3929282,71.8459164,76.4206422,82.5680145,64.4146477,23.802296,22.9823304,73.304098,68.5870499
85.4875415,85.6429439,10.4267338,15.1231855,10.5105539,5.3849387,28.0195864,25.1802569,111.2827761,88.2279453,86.7081015,70.8585363,77.0802627,81.2863403,85.9180292,67.3981273,27.5347136,36.9805077,78.0872294,73.2032566
99.2864815,99.2755457,18.7080023,19.5227273,15.0768541,9.8336811,36.6874439,27.9802624,116.6981623,102.8427404,94.3577434,76.2931677,85.6146948,86.0698568,90.7836296,71.014715,36.9005468,48.2335809,82.321226,81.4004772
12.935719,12.9689443,23.3384356,23.3231866,24.8923277,14.9332803,42.219697,31.5299315,131.9445983,116.3074694,101.8900313,81.3403053,27.7421873,27.3785975,95.7174454,73.4476672,48.8006796,61.1294363,88.6704686,11.4283856
26.9000932,27.1543728,28.4072574,27.9539834,38.8939458,23.1970574,48.4358964,34.2959309,136.0805305,131.7906334,3.7599072,86.6740755,52.1740279,34.3124976,103.0331528,76.3792847,62.1818864,75.261352,10.6847659,21.8430436
43.2302418,43.7853711,44.5202439,44.5388101,40.4259245,24.8827837,55.0192454,38.7481806,24.0825711,36.571109,9.8093911,94.1571202,56.8898058,39.5961799,109.8974715,79.7114484,75.2817433,2.9748891,34.1504154,33.0935298
56.5156296,56.8674203,48.6546673,49.3208888,43.9928536,33.3646617,63.5016256,46.0613722,37.9165097,63.6860629,19.3408839,101.9899728,63.1072713,45.4631597,117.2660606,82.5439193,3.0982784,7.6404114,52.5502888,43.0590245
70.8979818,71.0475034,59.0204711,52.0380776,46.4914852,35.5633365,71.7174718,48.7458337,64.512906,103.9671398,24.5420942,4.740765,66.6726219,52.0778813,11.3348346,85.7773811,8.0278683,13.5903351,73.8811025,52.1557475
85.4136677,85.3664594,76.586772,58.9877887,51.1101278,38.347189,75.9849719,55.028707,74.381971,21.1944769,29.7449608,10.240296,71.5222751,56.8772429,23.4011926,87.6951698,13.5951745,21.7226904,83.6629506,66.6240954
99.4780666,99.5975546,83.8187056,72.3855657,55.8417839,40.5147873,79.566738,59.1789167,84.7137235,35.7128888,36.3568766,14.3904351,76.3060191,61.8259828,36.1827251,90.9606055,17.8109878,23.6389564,26.1689403,82.1553307
12.1287089,12.5382065,6.0753253,81.9518732,60.5914837,46.2468095,83.4998147,63.3427144,88.3455288,63.711445,43.3413155,19.3786778,81.2386714,66.6600569,41.4165479,96.2960051,23.260446,27.2879976,33.2679465,11.5445311
26.8607066,27.252571,8.2242796,3.5303633,65.9095782,51.1144558,89.2826856,67.227833,103.3306866,76.5265019,54.0056478,24.6407933,27.756326,71.5095514,48.0981596,100.3289225,27.1271494,40.8211931,43.3665602,16.3953955
43.2278125,43.5507932,10.4415872,10.459762,70.7083642,55.7953299,93.0319016,71.7102094,133.1103274,134.7730551,60.6050909,29.8063784,31.6723783,76.2938245,53.8133421,106.4283962,36.5427897,48.3875776,47.0003495,22.0924862
56.8265319,56.7659094,12.8414539,18.6431514,6.122389,60.6428294,99.5991156,75.3926959,135.8255344,36.0042915,66.3048616,34.791952,37.4221935,81.1942855,59.9147835,109.8623417,39.7759178,51.8053581,52.9157083,27.7260005
70.9918394,71.2162614,18.4259363,23.2767153,10.0384459,64.1943763,102.6498449,79.3091717,21.696523,64.9023522,82.6191492,43.2734433,52.3011187,85.5574935,66.6802923,117.5941052,42.1758985,56.1526611,82.3815245,34.3089368
85.3738349,85.4468075,19.893371,49.5247333,13.723082,5.7322074,107.9157723,83.3765144,36.1960895,76.1343416,86.9873328,60.3057616,54.6182831,5.3489869,72.7632225,13.5338587,44.5086446,59.8704274,22.2531743,43.1930295
99.4077051,99.480287,21.1591704,55.0238909,24.9550545,13.6662052,111.0476652,89.3921212,50.2613463,102.8498539,94.6336843,82.2021867,56.9848755,27.7636578,85.2124032,23.3993627,46.9763802,63.2197886,33.7678904,46.8927
12.2687001,12.8153595,23.2738484,59.1403426,32.2202318,15.9318608,114.4962977,92.7758488,63.3262568,134.5799617,5.1013726,94.5536049,59.5045429,37.3969762,91.7956362,31.2000428,50.6249319,65.5372284,43.268524,70.7748775
27.1175185,27.5139065,28.0585295,61.5717645,33.5371547,33.3976038,117.7653855,102.4074097,75.3275396,36.4840025,7.3675183,4.8814915,61.8517154,52.1616692,96.7614137,35.8011109,53.5083809,68.8693669,52.74848,75.2406822
43.2504882,43.196222,30.4256523,64.422879,38.9196877,40.6659,120.662186,103.8751101,86.7596121,64.8302525,9.8515491,7.36491,64.4709527,54.4963331,102.7117215,41.6141819,56.1914339,8.1449705,77.5674671,82.4082121
56.7152829,71.2959355,44.6079016,76.5052957,40.9533704,46.6296215,123.7159697,105.6571891,97.9730538,76.0301156,15.4685208,10.281439,66.7205136,56.946087,109.8115676,47.982919,59.9752903,23.1434394,83.5483902,88.2403468
71.0646839,85.492711,48.6252157,5.6107617,50.2686816,50.262409,128.5801767,108.0583795,102.9412491,104.2593524,19.4159824,13.7489592,69.737685,59.409506,13.2480888,53.5808874,63.3572863,33.6404956,89.4168095,10.584258
85.3966557,99.2753805,59.2067718,10.0633378,55.9372742,56.1288601,133.546746,110.8717212,116.0732317,137.308953,31.5678462,14.348603,71.5699619,61.8281429,23.4812649,59.7474734,65.6575896,42.8086324,22.5913883,26.8007363
99.329022,12.8676674,64.4564537,14.8612961,62.168476,59.7956177,139.8296275,114.0406494,133.9387314,31.8735999,44.4319097,19.6485915,76.418609,66.7450775,31.745732,66.6783407,68.8246733,45.8233134,34.4072,34.2666905
